Barcode	Count	Location
P03	0	results/trezende/RC1/RC1/split1/split2/RC1A06P03.fasta
P04	0	results/trezende/RC1/RC1/split1/split2/RC1A06P04.fasta
P05	0	results/trezende/RC1/RC1/split1/split2/RC1A06P05.fasta
P06	0	results/trezende/RC1/RC1/split1/split2/RC1A06P06.fasta
P07	24	results/trezende/RC1/RC1/split1/split2/RC1A06P07.fasta
P08	0	results/trezende/RC1/RC1/split1/split2/RC1A06P08.fasta
P09	0	results/trezende/RC1/RC1/split1/split2/RC1A06P09.fasta
P10	1223	results/trezende/RC1/RC1/split1/split2/RC1A06P10.fasta
P11	393	results/trezende/RC1/RC1/split1/split2/RC1A06P11.fasta
P12	0	results/trezende/RC1/RC1/split1/split2/RC1A06P12.fasta
P13	0	results/trezende/RC1/RC1/split1/split2/RC1A06P13.fasta
P14	0	results/trezende/RC1/RC1/split1/split2/RC1A06P14.fasta
P15	0	results/trezende/RC1/RC1/split1/split2/RC1A06P15.fasta
P16	0	results/trezende/RC1/RC1/split1/split2/RC1A06P16.fasta
unmatched	18	results/trezende/RC1/RC1/split1/split2/RC1A06unmatched.fasta
total	1658
Barcode	Count	Location
P01	0	results/trezende/RC1/RC1/split1/split2/RC1A07P01.fasta
P02	0	results/trezende/RC1/RC1/split1/split2/RC1A07P02.fasta
P03	0	results/trezende/RC1/RC1/split1/split2/RC1A07P03.fasta
P04	0	results/trezende/RC1/RC1/split1/split2/RC1A07P04.fasta
P05	0	results/trezende/RC1/RC1/split1/split2/RC1A07P05.fasta
P06	0	results/trezende/RC1/RC1/split1/split2/RC1A07P06.fasta
P07	13	results/trezende/RC1/RC1/split1/split2/RC1A07P07.fasta
P08	0	results/trezende/RC1/RC1/split1/split2/RC1A07P08.fasta
P09	0	results/trezende/RC1/RC1/split1/split2/RC1A07P09.fasta
P10	1863	results/trezende/RC1/RC1/split1/split2/RC1A07P10.fasta
P11	589	results/trezende/RC1/RC1/split1/split2/RC1A07P11.fasta
P12	0	results/trezende/RC1/RC1/split1/split2/RC1A07P12.fasta
P13	0	results/trezende/RC1/RC1/split1/split2/RC1A07P13.fasta
P14	0	results/trezende/RC1/RC1/split1/split2/RC1A07P14.fasta
P15	0	results/trezende/RC1/RC1/split1/split2/RC1A07P15.fasta
P16	0	results/trezende/RC1/RC1/split1/split2/RC1A07P16.fasta
unmatched	31	results/trezende/RC1/RC1/split1/split2/RC1A07unmatched.fasta
total	2496
Barcode	Count	Location
P01	0	results/trezende/RC1/RC1/split1/split2/RC1A08P01.fasta
P02	0	results/trezende/RC1/RC1/split1/split2/RC1A08P02.fasta
P03	0	results/trezende/RC1/RC1/split1/split2/RC1A08P03.fasta
P04	0	results/trezende/RC1/RC1/split1/split2/RC1A08P04.fasta
P05	1	results/trezende/RC1/RC1/split1/split2/RC1A08P05.fasta
P06	0	results/trezende/RC1/RC1/split1/split2/RC1A08P06.fasta
P07	2	results/trezende/RC1/RC1/split1/split2/RC1A08P07.fasta
P08	0	results/trezende/RC1/RC1/split1/split2/RC1A08P08.fasta
P09	0	results/trezende/RC1/RC1/split1/split2/RC1A08P09.fasta
P10	755	results/trezende/RC1/RC1/split1/split2/RC1A08P10.fasta
P11	86	results/trezende/RC1/RC1/split1/split2/RC1A08P11.fasta
P12	0	results/trezende/RC1/RC1/split1/split2/RC1A08P12.fasta
P13	0	results/trezende/RC1/RC1/split1/split2/RC1A08P13.fasta
P14	0	results/trezende/RC1/RC1/split1/split2/RC1A08P14.fasta
P15	0	results/trezende/RC1/RC1/split1/split2/RC1A08P15.fasta
P16	0	results/trezende/RC1/RC1/split1/split2/RC1A08P16.fasta
unmatched	252	results/trezende/RC1/RC1/split1/split2/RC1A08unmatched.fasta
total	1096
Barcode	Count	Location
P01	0	results/trezende/RC1/RC1/split1/split2/RC1A09P01.fasta
P02	0	results/trezende/RC1/RC1/split1/split2/RC1A09P02.fasta
P03	0	results/trezende/RC1/RC1/split1/split2/RC1A09P03.fasta
P04	0	results/trezende/RC1/RC1/split1/split2/RC1A09P04.fasta
P05	0	results/trezende/RC1/RC1/split1/split2/RC1A09P05.fasta
P06	0	results/trezende/RC1/RC1/split1/split2/RC1A09P06.fasta
P07	15	results/trezende/RC1/RC1/split1/split2/RC1A09P07.fasta
P08	0	results/trezende/RC1/RC1/split1/split2/RC1A09P08.fasta
P09	0	results/trezende/RC1/RC1/split1/split2/RC1A09P09.fasta
P10	1781	results/trezende/RC1/RC1/split1/split2/RC1A09P10.fasta
P11	1679	results/trezende/RC1/RC1/split1/split2/RC1A09P11.fasta
P12	0	results/trezende/RC1/RC1/split1/split2/RC1A09P12.fasta
P13	0	results/trezende/RC1/RC1/split1/split2/RC1A09P13.fasta
P14	0	results/trezende/RC1/RC1/split1/split2/RC1A09P14.fasta
P15	0	results/trezende/RC1/RC1/split1/split2/RC1A09P15.fasta
P16	0	results/trezende/RC1/RC1/split1/split2/RC1A09P16.fasta
unmatched	33	results/trezende/RC1/RC1/split1/split2/RC1A09unmatched.fasta
total	3508
Barcode	Count	Location
P01	0	results/trezende/RC1/RC1/split1/split2/RC1A10P01.fasta
P02	0	results/trezende/RC1/RC1/split1/split2/RC1A10P02.fasta
P03	0	results/trezende/RC1/RC1/split1/split2/RC1A10P03.fasta
P04	0	results/trezende/RC1/RC1/split1/split2/RC1A10P04.fasta
P05	0	results/trezende/RC1/RC1/split1/split2/RC1A10P05.fasta
P06	0	results/trezende/RC1/RC1/split1/split2/RC1A10P06.fasta
P07	65	results/trezende/RC1/RC1/split1/split2/RC1A10P07.fasta
P08	0	results/trezende/RC1/RC1/split1/split2/RC1A10P08.fasta
P09	0	results/trezende/RC1/RC1/split1/split2/RC1A10P09.fasta
P10	3251	results/trezende/RC1/RC1/split1/split2/RC1A10P10.fasta
P11	363	results/trezende/RC1/RC1/split1/split2/RC1A10P11.fasta
P12	0	results/trezende/RC1/RC1/split1/split2/RC1A10P12.fasta
P13	0	results/trezende/RC1/RC1/split1/split2/RC1A10P13.fasta
P14	0	results/trezende/RC1/RC1/split1/split2/RC1A10P14.fasta
P15	0	results/trezende/RC1/RC1/split1/split2/RC1A10P15.fasta
P16	0	results/trezende/RC1/RC1/split1/split2/RC1A10P16.fasta
unmatched	24	results/trezende/RC1/RC1/split1/split2/RC1A10unmatched.fasta
total	3703
Barcode	Count	Location
P01	0	results/trezende/RC1/RC1/split1/split2/RC1A11P01.fasta
P02	0	results/trezende/RC1/RC1/split1/split2/RC1A11P02.fasta
P03	0	results/trezende/RC1/RC1/split1/split2/RC1A11P03.fasta
P04	0	results/trezende/RC1/RC1/split1/split2/RC1A11P04.fasta
P05	0	results/trezende/RC1/RC1/split1/split2/RC1A11P05.fasta
P06	0	results/trezende/RC1/RC1/split1/split2/RC1A11P06.fasta
P07	46	results/trezende/RC1/RC1/split1/split2/RC1A11P07.fasta
P08	0	results/trezende/RC1/RC1/split1/split2/RC1A11P08.fasta
P09	0	results/trezende/RC1/RC1/split1/split2/RC1A11P09.fasta
P10	1754	results/trezende/RC1/RC1/split1/split2/RC1A11P10.fasta
P11	484	results/trezende/RC1/RC1/split1/split2/RC1A11P11.fasta
P12	0	results/trezende/RC1/RC1/split1/split2/RC1A11P12.fasta
P13	0	results/trezende/RC1/RC1/split1/split2/RC1A11P13.fasta
P14	0	results/trezende/RC1/RC1/split1/split2/RC1A11P14.fasta
P15	0	results/trezende/RC1/RC1/split1/split2/RC1A11P15.fasta
P16	0	results/trezende/RC1/RC1/split1/split2/RC1A11P16.fasta
unmatched	54	results/trezende/RC1/RC1/split1/split2/RC1A11unmatched.fasta
total	2338
Barcode	Count	Location
P01	0	results/trezende/RC1/RC1/split1/split2/RC1A12P01.fasta
P02	0	results/trezende/RC1/RC1/split1/split2/RC1A12P02.fasta
P03	0	results/trezende/RC1/RC1/split1/split2/RC1A12P03.fasta
P04	0	results/trezende/RC1/RC1/split1/split2/RC1A12P04.fasta
P05	0	results/trezende/RC1/RC1/split1/split2/RC1A12P05.fasta
P06	0	results/trezende/RC1/RC1/split1/split2/RC1A12P06.fasta
P07	184	results/trezende/RC1/RC1/split1/split2/RC1A12P07.fasta
P08	0	results/trezende/RC1/RC1/split1/split2/RC1A12P08.fasta
P09	0	results/trezende/RC1/RC1/split1/split2/RC1A12P09.fasta
P10	1534	results/trezende/RC1/RC1/split1/split2/RC1A12P10.fasta
P11	600	results/trezende/RC1/RC1/split1/split2/RC1A12P11.fasta
P12	0	results/trezende/RC1/RC1/split1/split2/RC1A12P12.fasta
P13	0	results/trezende/RC1/RC1/split1/split2/RC1A12P13.fasta
P14	0	results/trezende/RC1/RC1/split1/split2/RC1A12P14.fasta
P15	0	results/trezende/RC1/RC1/split1/split2/RC1A12P15.fasta
P16	0	results/trezende/RC1/RC1/split1/split2/RC1A12P16.fasta
unmatched	54	results/trezende/RC1/RC1/split1/split2/RC1A12unmatched.fasta
total	2372
Barcode	Count	Location
P01	0	results/trezende/RC1/RC1/split1/split2/RC1B01P01.fasta
P02	0	results/trezende/RC1/RC1/split1/split2/RC1B01P02.fasta
P03	0	results/trezende/RC1/RC1/split1/split2/RC1B01P03.fasta
P04	0	results/trezende/RC1/RC1/split1/split2/RC1B01P04.fasta
P05	1	results/trezende/RC1/RC1/split1/split2/RC1B01P05.fasta
P06	0	results/trezende/RC1/RC1/split1/split2/RC1B01P06.fasta
P07	85	results/trezende/RC1/RC1/split1/split2/RC1B01P07.fasta
P08	0	results/trezende/RC1/RC1/split1/split2/RC1B01P08.fasta
P09	0	results/trezende/RC1/RC1/split1/split2/RC1B01P09.fasta
P10	1358	results/trezende/RC1/RC1/split1/split2/RC1B01P10.fasta
P11	530	results/trezende/RC1/RC1/split1/split2/RC1B01P11.fasta
P12	0	results/trezende/RC1/RC1/split1/split2/RC1B01P12.fasta
P13	0	results/trezende/RC1/RC1/split1/split2/RC1B01P13.fasta
P14	0	results/trezende/RC1/RC1/split1/split2/RC1B01P14.fasta
P15	0	results/trezende/RC1/RC1/split1/split2/RC1B01P15.fasta
P16	0	results/trezende/RC1/RC1/split1/split2/RC1B01P16.fasta
unmatched	27	results/trezende/RC1/RC1/split1/split2/RC1B01unmatched.fasta
total	2001
Barcode	Count	Location
P01	0	results/trezende/RC1/RC1/split1/split2/RC1B02P01.fasta
P02	0	results/trezende/RC1/RC1/split1/split2/RC1B02P02.fasta
P03	0	results/trezende/RC1/RC1/split1/split2/RC1B02P03.fasta
P04	0	results/trezende/RC1/RC1/split1/split2/RC1B02P04.fasta
P05	0	results/trezende/RC1/RC1/split1/split2/RC1B02P05.fasta
P06	0	results/trezende/RC1/RC1/split1/split2/RC1B02P06.fasta
P07	775	results/trezende/RC1/RC1/split1/split2/RC1B02P07.fasta
P08	0	results/trezende/RC1/RC1/split1/split2/RC1B02P08.fasta
P09	0	results/trezende/RC1/RC1/split1/split2/RC1B02P09.fasta
P10	1656	results/trezende/RC1/RC1/split1/split2/RC1B02P10.fasta
P11	442	results/trezende/RC1/RC1/split1/split2/RC1B02P11.fasta
P12	0	results/trezende/RC1/RC1/split1/split2/RC1B02P12.fasta
P13	0	results/trezende/RC1/RC1/split1/split2/RC1B02P13.fasta
P14	0	results/trezende/RC1/RC1/split1/split2/RC1B02P14.fasta
P15	0	results/trezende/RC1/RC1/split1/split2/RC1B02P15.fasta
P16	0	results/trezende/RC1/RC1/split1/split2/RC1B02P16.fasta
unmatched	34	results/trezende/RC1/RC1/split1/split2/RC1B02unmatched.fasta
total	2907
Barcode	Count	Location
P01	0	results/trezende/RC1/RC1/split1/split2/RC1B03P01.fasta
P02	0	results/trezende/RC1/RC1/split1/split2/RC1B03P02.fasta
P03	0	results/trezende/RC1/RC1/split1/split2/RC1B03P03.fasta
P04	0	results/trezende/RC1/RC1/split1/split2/RC1B03P04.fasta
P05	0	results/trezende/RC1/RC1/split1/split2/RC1B03P05.fasta
P06	0	results/trezende/RC1/RC1/split1/split2/RC1B03P06.fasta
P07	1930	results/trezende/RC1/RC1/split1/split2/RC1B03P07.fasta
P08	0	results/trezende/RC1/RC1/split1/split2/RC1B03P08.fasta
P09	0	results/trezende/RC1/RC1/split1/split2/RC1B03P09.fasta
P10	650	results/trezende/RC1/RC1/split1/split2/RC1B03P10.fasta
P11	418	results/trezende/RC1/RC1/split1/split2/RC1B03P11.fasta
P12	0	results/trezende/RC1/RC1/split1/split2/RC1B03P12.fasta
P13	0	results/trezende/RC1/RC1/split1/split2/RC1B03P13.fasta
P14	0	results/trezende/RC1/RC1/split1/split2/RC1B03P14.fasta
P15	0	results/trezende/RC1/RC1/split1/split2/RC1B03P15.fasta
P16	0	results/trezende/RC1/RC1/split1/split2/RC1B03P16.fasta
unmatched	15	results/trezende/RC1/RC1/split1/split2/RC1B03unmatched.fasta
total	3013
Barcode	Count	Location
P01	1	results/trezende/RC1/RC1/split1/split2/RC1B04P01.fasta
P02	0	results/trezende/RC1/RC1/split1/split2/RC1B04P02.fasta
P03	0	results/trezende/RC1/RC1/split1/split2/RC1B04P03.fasta
P04	0	results/trezende/RC1/RC1/split1/split2/RC1B04P04.fasta
P05	0	results/trezende/RC1/RC1/split1/split2/RC1B04P05.fasta
P06	0	results/trezende/RC1/RC1/split1/split2/RC1B04P06.fasta
P07	58	results/trezende/RC1/RC1/split1/split2/RC1B04P07.fasta
P08	0	results/trezende/RC1/RC1/split1/split2/RC1B04P08.fasta
P09	0	results/trezende/RC1/RC1/split1/split2/RC1B04P09.fasta
P10	1727	results/trezende/RC1/RC1/split1/split2/RC1B04P10.fasta
P11	1690	results/trezende/RC1/RC1/split1/split2/RC1B04P11.fasta
P12	0	results/trezende/RC1/RC1/split1/split2/RC1B04P12.fasta
P13	0	results/trezende/RC1/RC1/split1/split2/RC1B04P13.fasta
P14	0	results/trezende/RC1/RC1/split1/split2/RC1B04P14.fasta
P15	0	results/trezende/RC1/RC1/split1/split2/RC1B04P15.fasta
P16	0	results/trezende/RC1/RC1/split1/split2/RC1B04P16.fasta
unmatched	26	results/trezende/RC1/RC1/split1/split2/RC1B04unmatched.fasta
total	3502
Barcode	Count	Location
P01	0	results/trezende/RC1/RC1/split1/split2/RC1B05P01.fasta
P02	0	results/trezende/RC1/RC1/split1/split2/RC1B05P02.fasta
P03	0	results/trezende/RC1/RC1/split1/split2/RC1B05P03.fasta
P04	0	results/trezende/RC1/RC1/split1/split2/RC1B05P04.fasta
P05	0	results/trezende/RC1/RC1/split1/split2/RC1B05P05.fasta
P06	0	results/trezende/RC1/RC1/split1/split2/RC1B05P06.fasta
P07	37	results/trezende/RC1/RC1/split1/split2/RC1B05P07.fasta
P08	0	results/trezende/RC1/RC1/split1/split2/RC1B05P08.fasta
P09	0	results/trezende/RC1/RC1/split1/split2/RC1B05P09.fasta
