Barcode	Count	Location
P03	1	results/trezende/Angelina/AB220418/split1/split2/AB220418A07P03.fasta
P04	3	results/trezende/Angelina/AB220418/split1/split2/AB220418A07P04.fasta
P05	1	results/trezende/Angelina/AB220418/split1/split2/AB220418A07P05.fasta
P06	3	results/trezende/Angelina/AB220418/split1/split2/AB220418A07P06.fasta
P07	1	results/trezende/Angelina/AB220418/split1/split2/AB220418A07P07.fasta
P08	3	results/trezende/Angelina/AB220418/split1/split2/AB220418A07P08.fasta
P09	2	results/trezende/Angelina/AB220418/split1/split2/AB220418A07P09.fasta
P10	2	results/trezende/Angelina/AB220418/split1/split2/AB220418A07P10.fasta
P11	0	results/trezende/Angelina/AB220418/split1/split2/AB220418A07P11.fasta
P12	0	results/trezende/Angelina/AB220418/split1/split2/AB220418A07P12.fasta
P13	0	results/trezende/Angelina/AB220418/split1/split2/AB220418A07P13.fasta
P14	0	results/trezende/Angelina/AB220418/split1/split2/AB220418A07P14.fasta
P15	0	results/trezende/Angelina/AB220418/split1/split2/AB220418A07P15.fasta
P16	0	results/trezende/Angelina/AB220418/split1/split2/AB220418A07P16.fasta
unmatched	4809	results/trezende/Angelina/AB220418/split1/split2/AB220418A07unmatched.fasta
total	4830
Barcode	Count	Location
P01	4	results/trezende/Angelina/AB220418/split1/split2/AB220418A08P01.fasta
P02	5	results/trezende/Angelina/AB220418/split1/split2/AB220418A08P02.fasta
P03	0	results/trezende/Angelina/AB220418/split1/split2/AB220418A08P03.fasta
P04	0	results/trezende/Angelina/AB220418/split1/split2/AB220418A08P04.fasta
P05	5	results/trezende/Angelina/AB220418/split1/split2/AB220418A08P05.fasta
P06	0	results/trezende/Angelina/AB220418/split1/split2/AB220418A08P06.fasta
P07	1	results/trezende/Angelina/AB220418/split1/split2/AB220418A08P07.fasta
P08	0	results/trezende/Angelina/AB220418/split1/split2/AB220418A08P08.fasta
P09	0	results/trezende/Angelina/AB220418/split1/split2/AB220418A08P09.fasta
P10	2	results/trezende/Angelina/AB220418/split1/split2/AB220418A08P10.fasta
P11	0	results/trezende/Angelina/AB220418/split1/split2/AB220418A08P11.fasta
P12	0	results/trezende/Angelina/AB220418/split1/split2/AB220418A08P12.fasta
P13	0	results/trezende/Angelina/AB220418/split1/split2/AB220418A08P13.fasta
P14	0	results/trezende/Angelina/AB220418/split1/split2/AB220418A08P14.fasta
P15	0	results/trezende/Angelina/AB220418/split1/split2/AB220418A08P15.fasta
P16	0	results/trezende/Angelina/AB220418/split1/split2/AB220418A08P16.fasta
unmatched	0	results/trezende/Angelina/AB220418/split1/split2/AB220418A08unmatched.fasta
total	17
Barcode	Count	Location
P01	0	results/trezende/Angelina/AB220418/split1/split2/AB220418A09P01.fasta
P02	0	results/trezende/Angelina/AB220418/split1/split2/AB220418A09P02.fasta
P03	1	results/trezende/Angelina/AB220418/split1/split2/AB220418A09P03.fasta
P04	1	results/trezende/Angelina/AB220418/split1/split2/AB220418A09P04.fasta
P05	1	results/trezende/Angelina/AB220418/split1/split2/AB220418A09P05.fasta
P06	2	results/trezende/Angelina/AB220418/split1/split2/AB220418A09P06.fasta
P07	3	results/trezende/Angelina/AB220418/split1/split2/AB220418A09P07.fasta
P08	0	results/trezende/Angelina/AB220418/split1/split2/AB220418A09P08.fasta
P09	0	results/trezende/Angelina/AB220418/split1/split2/AB220418A09P09.fasta
P10	1	results/trezende/Angelina/AB220418/split1/split2/AB220418A09P10.fasta
P11	0	results/trezende/Angelina/AB220418/split1/split2/AB220418A09P11.fasta
P12	0	results/trezende/Angelina/AB220418/split1/split2/AB220418A09P12.fasta
P13	0	results/trezende/Angelina/AB220418/split1/split2/AB220418A09P13.fasta
P14	0	results/trezende/Angelina/AB220418/split1/split2/AB220418A09P14.fasta
P15	0	results/trezende/Angelina/AB220418/split1/split2/AB220418A09P15.fasta
P16	0	results/trezende/Angelina/AB220418/split1/split2/AB220418A09P16.fasta
unmatched	0	results/trezende/Angelina/AB220418/split1/split2/AB220418A09unmatched.fasta
total	9
Barcode	Count	Location
P01	1	results/trezende/Angelina/AB220418/split1/split2/AB220418A10P01.fasta
P02	3	results/trezende/Angelina/AB220418/split1/split2/AB220418A10P02.fasta
P03	1	results/trezende/Angelina/AB220418/split1/split2/AB220418A10P03.fasta
P04	2	results/trezende/Angelina/AB220418/split1/split2/AB220418A10P04.fasta
P05	1	results/trezende/Angelina/AB220418/split1/split2/AB220418A10P05.fasta
P06	2	results/trezende/Angelina/AB220418/split1/split2/AB220418A10P06.fasta
P07	1	results/trezende/Angelina/AB220418/split1/split2/AB220418A10P07.fasta
P08	1	results/trezende/Angelina/AB220418/split1/split2/AB220418A10P08.fasta
P09	0	results/trezende/Angelina/AB220418/split1/split2/AB220418A10P09.fasta
P10	1	results/trezende/Angelina/AB220418/split1/split2/AB220418A10P10.fasta
P11	0	results/trezende/Angelina/AB220418/split1/split2/AB220418A10P11.fasta
P12	0	results/trezende/Angelina/AB220418/split1/split2/AB220418A10P12.fasta
P13	0	results/trezende/Angelina/AB220418/split1/split2/AB220418A10P13.fasta
P14	0	results/trezende/Angelina/AB220418/split1/split2/AB220418A10P14.fasta
P15	0	results/trezende/Angelina/AB220418/split1/split2/AB220418A10P15.fasta
P16	0	results/trezende/Angelina/AB220418/split1/split2/AB220418A10P16.fasta
unmatched	1	results/trezende/Angelina/AB220418/split1/split2/AB220418A10unmatched.fasta
total	14
Barcode	Count	Location
P01	2	results/trezende/Angelina/AB220418/split1/split2/AB220418A11P01.fasta
P02	4	results/trezende/Angelina/AB220418/split1/split2/AB220418A11P02.fasta
P03	1	results/trezende/Angelina/AB220418/split1/split2/AB220418A11P03.fasta
P04	3	results/trezende/Angelina/AB220418/split1/split2/AB220418A11P04.fasta
P05	1	results/trezende/Angelina/AB220418/split1/split2/AB220418A11P05.fasta
P06	1	results/trezende/Angelina/AB220418/split1/split2/AB220418A11P06.fasta
P07	0	results/trezende/Angelina/AB220418/split1/split2/AB220418A11P07.fasta
P08	1	results/trezende/Angelina/AB220418/split1/split2/AB220418A11P08.fasta
P09	3	results/trezende/Angelina/AB220418/split1/split2/AB220418A11P09.fasta
P10	4	results/trezende/Angelina/AB220418/split1/split2/AB220418A11P10.fasta
P11	0	results/trezende/Angelina/AB220418/split1/split2/AB220418A11P11.fasta
P12	0	results/trezende/Angelina/AB220418/split1/split2/AB220418A11P12.fasta
